,Time,TimeEDT,TemperatureF,Dew_PointF,Humidity,Sea_Level_PressureIn,VisibilityMPH,Wind_Direction,Wind_SpeedMPH,Gust_SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
1,10/1/2016 0:05,12:05 AM,57.9,57,97,30.35,10,NE,15,-,0,Rain,Light Rain,50,10/1/2016 4:05
2,10/1/2016 0:29,12:29 AM,57.9,57,97,30.34,10,NE,15,-,0,,Overcast,50,10/1/2016 4:29
3,10/1/2016 0:54,12:54 AM,57.9,57,97,30.34,6,NE,18.4,-,0,Rain,Light Rain,50,10/1/2016 4:54
4,10/1/2016 1:16,1:16 AM,57.9,57,97,30.34,2.5,NE,19.6,-,0.01,Rain,Rain,50,10/1/2016 5:16
5,10/1/2016 1:23,1:23 AM,57.9,57,97,30.34,3,NE,18.4,-,0.02,Rain,Light Rain,50,10/1/2016 5:23
6,10/1/2016 1:54,1:54 AM,57.9,57,97,30.33,2.5,NE,16.1,-,0.08,Rain,Heavy Rain,50,10/1/2016 5:54
7,10/1/2016 2:03,2:03 AM,57.9,57,97,30.33,4,ENE,18.4,-,0.01,Rain,Light Rain,60,10/1/2016 6:03
8,10/1/2016 2:10,2:10 AM,57.9,57,97,30.33,4,NE,17.3,-,0.02,Rain,Light Rain,50,10/1/2016 6:10
9,10/1/2016 2:43,2:43 AM,57.9,57,97,30.32,6,NE,17.3,24.2,0.04,Rain,Light Rain,50,10/1/2016 6:43
10,10/1/2016 2:54,2:54 AM,57.9,57,97,30.31,5,NE,16.1,-,0.04,Rain,Light Rain,50,10/1/2016 6:54
11,10/1/2016 3:21,3:21 AM,57,57,100,30.31,3,NE,19.6,-,0.01,Rain,Light Rain,50,10/1/2016 7:21
12,10/1/2016 3:54,3:54 AM,57,57,100,30.3,4,NE,18.4,27.6,0.02,Rain,Light Rain,50,10/1/2016 7:54
13,10/1/2016 4:16,4:16 AM,57,57,100,30.3,6,NE,18.4,-,0.01,Rain,Light Rain,50,10/1/2016 8:16
14,10/1/2016 4:54,4:54 AM,57,57,100,30.3,2.5,NE,15,-,0.02,Rain,Light Rain,50,10/1/2016 8:54
15,10/1/2016 5:19,5:19 AM,57,57,100,30.3,4,NE,17.3,-,0.07,Rain,Light Rain,50,10/1/2016 9:19
16,10/1/2016 5:54,5:54 AM,57,57,100,30.31,2.5,NE,18.4,24.2,0.09,Rain,Light Rain,50,10/1/2016 9:54
17,10/1/2016 6:17,6:17 AM,57,57,100,30.31,3,NE,16.1,-,0.02,Rain,Light Rain,40,10/1/2016 10:17
18,10/1/2016 6:30,6:30 AM,57,57,100,30.31,2.5,NE,13.8,23,0.04,Rain,Light Rain,40,10/1/2016 10:30
19,10/1/2016 6:39,6:39 AM,57,57,100,30.31,3,NE,17.3,-,0.05,Rain,Light Rain,40,10/1/2016 10:39
20,10/1/2016 6:54,6:54 AM,57,57,100,30.3,4,NE,15,24.2,0.05,Rain,Light Rain,40,10/1/2016 10:54
21,10/1/2016 7:47,7:47 AM,55.9,55.9,100,30.31,2,NE,13.8,-,0.12,Rain,Heavy Rain,40,10/1/2016 11:47
22,10/1/2016 7:54,7:54 AM,55.9,55.9,100,30.31,2.5,NE,12.7,-,0.15,Rain,Heavy Rain,40,10/1/2016 11:54
23,10/1/2016 8:04,8:04 AM,55.9,55.9,100,30.31,4,NNE,16.1,-,0.02,Rain,Light Rain,30,10/1/2016 12:04
24,10/1/2016 8:51,8:51 AM,55.9,55.9,100,30.31,4,NNE,15,-,0.07,Rain,Heavy Rain,30,10/1/2016 12:51
25,10/1/2016 8:58,8:58 AM,55.9,55.9,100,30.31,2.5,NNE,16.1,-,0.01,Rain,Rain,30,10/1/2016 12:58
26,10/1/2016 9:24,9:24 AM,55.9,55.9,100,30.31,3,NE,16.1,-,0.03,Rain,Rain,40,10/1/2016 13:24
27,10/1/2016 9:54,9:54 AM,55.9,55.9,100,30.3,3,NNE,16.1,-,0.13,Rain,Light Rain,30,10/1/2016 13:54
28,10/1/2016 10:08,10:08 AM,57,55.9,96,30.29,8,NNE,15,-,0,Rain,Light Rain,30,10/1/2016 14:08
29,10/1/2016 10:54,10:54 AM,57,57,100,30.29,5,NE,16.1,-,0,,Overcast,40,10/1/2016 14:54
30,10/1/2016 11:02,11:02 AM,57,57,100,30.29,5,NNE,15,-,N/A,,Overcast,30,10/1/2016 15:02
31,10/1/2016 11:54,11:54 AM,57.9,57,97,30.28,2.5,NNE,13.8,-,0,,Light Drizzle,30,10/1/2016 15:54
32,10/1/2016 12:26,12:26 PM,57.9,57.9,100,30.27,1.5,NE,13.8,-,0.01,Rain,Light Rain,40,10/1/2016 16:26
33,10/1/2016 12:54,12:54 PM,57.9,57.9,100,30.26,1.5,NNE,16.1,-,0.01,,Light Drizzle,30,10/1/2016 16:54
34,10/1/2016 13:54,1:54 PM,57.9,57.9,100,30.24,1,NNE,15,-,0.01,Rain,Light Rain,20,10/1/2016 17:54
35,10/1/2016 14:54,2:54 PM,57,57,100,30.24,1,NNE,16.1,-,0.02,Rain,Light Rain,20,10/1/2016 18:54
36,10/1/2016 15:54,3:54 PM,55.9,55.9,100,30.24,1,NNE,17.3,-,0,Rain,Light Rain,20,10/1/2016 19:54
37,10/1/2016 16:54,4:54 PM,55,55,100,30.24,1,NNE,15,-,0,,Light Drizzle,20,10/1/2016 20:54
38,10/1/2016 17:54,5:54 PM,55,55,100,30.21,1,NNE,18.4,-,0.01,,Overcast,20,10/1/2016 21:54
39,10/1/2016 18:54,6:54 PM,55.9,55,97,30.22,1,NNE,15,-,0,Rain,Light Rain,20,10/1/2016 22:54
40,10/1/2016 18:57,6:57 PM,55.9,55,97,30.21,3,NNE,16.1,-,0,,Overcast,30,10/1/2016 22:57
41,10/1/2016 19:17,7:17 PM,55.9,55,97,30.2,2.5,NNE,16.1,-,0,,Light Drizzle,20,10/1/2016 23:17
42,10/1/2016 19:54,7:54 PM,55.9,55.9,100,30.2,3,NE,16.1,-,0,Rain,Light Rain,40,10/1/2016 23:54
43,10/1/2016 20:54,8:54 PM,55,54,96,30.21,3,NNE,20.7,29.9,0.01,,Overcast,30,10/2/2016 0:54
44,10/1/2016 21:54,9:54 PM,55,53.1,93,30.2,3,NNE,16.1,-,N/A,,Overcast,20,10/2/2016 1:54
45,10/1/2016 22:34,10:34 PM,55,54,96,30.18,3,NNE,16.1,-,N/A,,Overcast,30,10/2/2016 2:34
46,10/1/2016 22:54,10:54 PM,55,55,100,30.18,3,NNE,16.1,-,N/A,,Overcast,30,10/2/2016 2:54
47,10/1/2016 23:54,11:54 PM,55,55,100,30.18,2.5,North,11.5,-,0,,Light Drizzle,10,10/2/2016 3:54
48,10/2/2016 0:14,12:14 AM,55.9,55,97,30.18,3,NNE,11.5,-,0,,Light Drizzle,20,10/2/2016 4:14
49,10/2/2016 0:54,12:54 AM,55,55,100,30.17,3,NNW,9.2,-,0,,Light Drizzle,340,10/2/2016 4:54
50,10/2/2016 1:10,1:10 AM,54,54,100,30.16,2.5,North,9.2,-,0,,Light Drizzle,350,10/2/2016 5:10
51,10/2/2016 1:54,1:54 AM,54,54,100,30.17,2.5,NNW,9.2,-,0,Rain,Light Rain,330,10/2/2016 5:54
52,10/2/2016 2:54,2:54 AM,53.1,53.1,100,30.15,2.5,North,10.4,-,0.01,Rain,Light Rain,350,10/2/2016 6:54
53,10/2/2016 3:54,3:54 AM,53.1,53.1,100,30.16,2.5,NNW,8.1,-,0.01,Rain,Light Rain,340,10/2/2016 7:54
54,10/2/2016 4:46,4:46 AM,54,54,100,30.15,2,North,8.1,-,0.01,Rain,Light Rain,350,10/2/2016 8:46
55,10/2/2016 4:54,4:54 AM,54,54,100,30.15,2,North,10.4,-,0.01,,Light Drizzle,10,10/2/2016 8:54
56,10/2/2016 5:51,5:51 AM,53.6,53.6,100,30.14,3,NNE,13.8,-,0,,Light Drizzle,20,10/2/2016 9:51
57,10/2/2016 5:54,5:54 AM,54,54,100,30.14,3,NNE,12.7,-,0,,Overcast,20,10/2/2016 9:54
58,10/2/2016 6:01,6:01 AM,54,54,100,30.14,3,NNE,15,-,N/A,,Overcast,20,10/2/2016 10:01
59,10/2/2016 6:54,6:54 AM,54,54,100,30.14,3,NNE,15,-,N/A,,Overcast,20,10/2/2016 10:54
60,10/2/2016 7:54,7:54 AM,54,53.1,97,30.15,3,NNE,12.7,-,N/A,,Overcast,30,10/2/2016 11:54
61,10/2/2016 8:23,8:23 AM,54,54,100,30.15,2.5,NNE,11.5,-,N/A,,Overcast,30,10/2/2016 12:23
62,10/2/2016 8:54,8:54 AM,54,54,100,30.15,2,NE,15,-,N/A,,Overcast,40,10/2/2016 12:54
63,10/2/2016 9:54,9:54 AM,55,54,96,30.14,7,NNE,9.2,-,N/A,,Overcast,30,10/2/2016 13:54
64,10/2/2016 10:54,10:54 AM,55.9,54,93,30.13,10,NNE,11.5,-,N/A,,Overcast,20,10/2/2016 14:54
65,10/2/2016 11:25,11:25 AM,55.9,54,93,30.12,10,NNE,11.5,-,N/A,,Overcast,30,10/2/2016 15:25
66,10/2/2016 11:54,11:54 AM,55.9,54,93,30.12,10,NNE,11.5,-,N/A,,Overcast,30,10/2/2016 15:54
67,10/2/2016 12:54,12:54 PM,55.9,54,93,30.11,10,NNE,6.9,-,N/A,,Overcast,20,10/2/2016 16:54
68,10/2/2016 13:30,1:30 PM,55.9,54,93,30.1,10,North,6.9,-,N/A,,Overcast,360,10/2/2016 17:30
69,10/2/2016 13:54,1:54 PM,57,54,89,30.1,10,NNE,5.8,-,N/A,,Overcast,30,10/2/2016 17:54
70,10/2/2016 14:41,2:41 PM,55.9,55,97,30.09,5,NNE,5.8,-,0,,Light Drizzle,20,10/2/2016 18:41
71,10/2/2016 14:50,2:50 PM,55.4,53.6,94,30.09,9,NE,5.8,-,0,,Light Drizzle,40,10/2/2016 18:50
72,10/2/2016 14:54,2:54 PM,55.9,54,93,30.08,10,NE,5.8,-,0,,Light Drizzle,40,10/2/2016 18:54
73,10/2/2016 15:12,3:12 PM,55.9,54,93,30.08,10,ENE,6.9,-,0,,Overcast,60,10/2/2016 19:12
74,10/2/2016 15:54,3:54 PM,57,54,89,30.07,10,NNE,6.9,-,0,,Overcast,30,10/2/2016 19:54
75,10/2/2016 16:54,4:54 PM,57,53.1,87,30.07,10,NNE,3.5,-,N/A,,Overcast,20,10/2/2016 20:54
76,10/2/2016 17:54,5:54 PM,55.9,54,93,30.06,10,ENE,3.5,-,N/A,,Overcast,70,10/2/2016 21:54
77,10/2/2016 18:54,6:54 PM,57,54,89,30.06,10,NNE,3.5,-,N/A,,Overcast,20,10/2/2016 22:54
78,10/2/2016 19:54,7:54 PM,55.9,54,93,30.06,10,Variable,4.6,-,N/A,,Overcast,0,10/2/2016 23:54
79,10/2/2016 20:54,8:54 PM,55.9,54,93,30.04,10,Calm,Calm,-,N/A,,Overcast,0,10/3/2016 0:54
80,10/2/2016 21:35,9:35 PM,55.9,54,93,30.04,10,Calm,Calm,-,N/A,,Overcast,0,10/3/2016 1:35
81,10/2/2016 21:54,9:54 PM,55.9,54,93,30.04,10,Calm,Calm,-,N/A,,Overcast,0,10/3/2016 1:54
82,10/2/2016 22:18,10:18 PM,55.9,54,93,30.03,10,Calm,Calm,-,N/A,,Overcast,0,10/3/2016 2:18
83,10/2/2016 22:54,10:54 PM,57,54,89,30.03,10,Variable,4.6,-,N/A,,Overcast,0,10/3/2016 2:54
84,10/2/2016 23:25,11:25 PM,55.9,54,93,30.03,10,SW,6.9,-,N/A,,Overcast,230,10/3/2016 3:25
85,10/2/2016 23:54,11:54 PM,55.9,54,93,30.03,10,SW,4.6,-,N/A,,Overcast,230,10/3/2016 3:54
86,10/3/2016 0:10,12:10 AM,55.9,54,93,30.02,10,WNW,4.6,-,N/A,NA,Overcast,290,10/3/2016 4:10
87,10/3/2016 0:54,12:54 AM,55.9,54,93,30.01,9,Variable,5.8,-,N/A,NA,Overcast,0,10/3/2016 4:54
88,10/3/2016 1:54,1:54 AM,55.9,54,93,30,10,South,6.9,-,N/A,NA,Overcast,190,10/3/2016 5:54
89,10/3/2016 2:54,2:54 AM,55.9,54,93,29.99,10,WSW,6.9,-,N/A,NA,Overcast,240,10/3/2016 6:54
90,10/3/2016 3:15,3:15 AM,55.9,55,97,29.99,10,SW,6.9,-,N/A,NA,Overcast,230,10/3/2016 7:15
91,10/3/2016 3:23,3:23 AM,55.9,55,97,29.99,9,SW,6.9,-,N/A,NA,Overcast,220,10/3/2016 7:23
92,10/3/2016 3:54,3:54 AM,55.9,55,97,29.99,9,SW,8.1,-,N/A,NA,Overcast,230,10/3/2016 7:54
93,10/3/2016 4:17,4:17 AM,55.9,55,97,29.98,10,SW,8.1,-,N/A,NA,Overcast,230,10/3/2016 8:17
94,10/3/2016 4:54,4:54 AM,55.9,55,97,29.98,10,West,8.1,-,N/A,NA,Overcast,270,10/3/2016 8:54
95,10/3/2016 5:21,5:21 AM,57,55,93,29.98,10,West,10.4,-,N/A,NA,Overcast,270,10/3/2016 9:21
96,10/3/2016 5:54,5:54 AM,57,55,93,29.97,10,WSW,8.1,-,N/A,NA,Overcast,250,10/3/2016 9:54
97,10/3/2016 6:33,6:33 AM,57,55,93,29.98,10,WSW,6.9,-,N/A,NA,Mostly Cloudy,250,10/3/2016 10:33
98,10/3/2016 6:54,6:54 AM,57.9,55,90,29.98,10,WSW,8.1,-,N/A,NA,Mostly Cloudy,240,10/3/2016 10:54
99,10/3/2016 7:54,7:54 AM,57.9,55.9,93,29.99,10,SW,6.9,-,N/A,NA,Mostly Cloudy,220,10/3/2016 11:54
100,10/3/2016 8:54,8:54 AM,62.1,55.9,80,29.99,10,WNW,8.1,-,N/A,NA,Scattered Clouds,300,10/3/2016 12:54
101,10/3/2016 9:54,9:54 AM,64,55.9,75,30,10,Variable,5.8,-,N/A,NA,Partly Cloudy,0,10/3/2016 13:54
102,10/3/2016 10:54,10:54 AM,66,55.9,70,30.01,10,Variable,4.6,-,N/A,NA,Partly Cloudy,0,10/3/2016 14:54
103,10/3/2016 11:54,11:54 AM,66.9,57.9,73,30.01,10,East,5.8,-,N/A,NA,Scattered Clouds,80,10/3/2016 15:54
104,10/3/2016 12:54,12:54 PM,66,57,73,30.01,10,SE,8.1,-,N/A,NA,Partly Cloudy,130,10/3/2016 16:54
105,10/3/2016 13:54,1:54 PM,64.9,57.9,78,30.02,10,East,9.2,-,N/A,NA,Partly Cloudy,80,10/3/2016 17:54
106,10/3/2016 14:54,2:54 PM,64,55.9,75,30.02,10,East,9.2,-,N/A,NA,Mostly Cloudy,80,10/3/2016 18:54
107,10/3/2016 15:54,3:54 PM,64,55.9,75,30.02,10,East,10.4,-,N/A,NA,Scattered Clouds,90,10/3/2016 19:54
108,10/3/2016 16:54,4:54 PM,62.1,57,84,30.05,10,East,10.4,-,N/A,NA,Partly Cloudy,90,10/3/2016 20:54
109,10/3/2016 17:54,5:54 PM,59,57,93,30.07,10,East,5.8,-,N/A,NA,Mostly Cloudy,90,10/3/2016 21:54
110,10/3/2016 18:54,6:54 PM,59,57,93,30.09,10,ENE,6.9,-,N/A,NA,Scattered Clouds,60,10/3/2016 22:54
111,10/3/2016 19:54,7:54 PM,59,57.9,96,30.12,10,East,4.6,-,N/A,NA,Scattered Clouds,80,10/3/2016 23:54
112,10/3/2016 20:27,8:27 PM,60.1,57.9,93,30.13,10,East,8.1,-,N/A,NA,Mostly Cloudy,80,10/4/2016 0:27
113,10/3/2016 20:46,8:46 PM,60.1,57.9,93,30.14,10,East,9.2,-,N/A,NA,Mostly Cloudy,80,10/4/2016 0:46
114,10/3/2016 20:54,8:54 PM,59,57,93,30.15,10,East,10.4,-,N/A,NA,Mostly Cloudy,80,10/4/2016 0:54
115,10/3/2016 21:16,9:16 PM,60.1,57,90,30.15,10,East,10.4,-,N/A,NA,Mostly Cloudy,90,10/4/2016 1:16
116,10/3/2016 22:54,10:54 PM,59,55.9,90,30.18,10,East,6.9,-,N/A,NA,Mostly Cloudy,90,10/4/2016 2:54
117,10/3/2016 23:38,11:38 PM,57.9,55.9,93,30.2,10,NE,6.9,-,N/A,NA,Scattered Clouds,40,10/4/2016 3:38
118,10/3/2016 23:54,11:54 PM,59,57,93,30.2,10,NE,9.2,-,N/A,NA,Mostly Cloudy,50,10/4/2016 3:54
119,10/4/2016 0:27,12:27 AM,59,55,87,30.21,10,NE,10.4,-,N/A,,Mostly Cloudy,50,10/4/2016 4:27
120,10/4/2016 0:54,12:54 AM,59,55,87,30.22,10,ENE,11.5,-,N/A,,Mostly Cloudy,60,10/4/2016 4:54
121,10/4/2016 1:54,1:54 AM,59,55,87,30.23,10,ENE,12.7,-,N/A,,Overcast,60,10/4/2016 5:54
122,10/4/2016 2:54,2:54 AM,59,53.1,81,30.24,10,ENE,15,-,N/A,,Overcast,60,10/4/2016 6:54
123,10/4/2016 3:54,3:54 AM,57.9,54,87,30.25,10,NNE,11.5,-,N/A,,Overcast,30,10/4/2016 7:54
124,10/4/2016 4:43,4:43 AM,57.9,55,90,30.26,10,North,10.4,-,N/A,,Overcast,10,10/4/2016 8:43
125,10/4/2016 4:54,4:54 AM,57.9,55,90,30.26,10,North,10.4,-,N/A,,Overcast,10,10/4/2016 8:54
126,10/4/2016 5:54,5:54 AM,57.9,55,90,30.27,10,North,8.1,-,N/A,,Mostly Cloudy,360,10/4/2016 9:54
127,10/4/2016 6:38,6:38 AM,57.9,55.9,93,30.29,10,North,9.2,-,N/A,,Overcast,10,10/4/2016 10:38
128,10/4/2016 6:54,6:54 AM,59,57,93,30.3,10,ENE,10.4,-,0,Rain,Light Rain,60,10/4/2016 10:54
129,10/4/2016 7:24,7:24 AM,60.1,55.9,86,30.31,10,ENE,13.8,-,0,,Overcast,60,10/4/2016 11:24
130,10/4/2016 7:54,7:54 AM,60.1,55,83,30.32,10,ENE,15,-,0,,Overcast,60,10/4/2016 11:54
131,10/4/2016 8:54,8:54 AM,61,55,81,30.34,10,ENE,12.7,-,N/A,,Mostly Cloudy,60,10/4/2016 12:54
132,10/4/2016 9:16,9:16 AM,62.1,55,78,30.35,10,NE,16.1,-,N/A,,Mostly Cloudy,50,10/4/2016 13:16
133,10/4/2016 9:54,9:54 AM,62.1,55,78,30.36,10,NE,19.6,-,N/A,,Mostly Cloudy,50,10/4/2016 13:54
134,10/4/2016 10:01,10:01 AM,63,55,75,30.36,10,NE,17.3,-,N/A,,Mostly Cloudy,50,10/4/2016 14:01
135,10/4/2016 10:54,10:54 AM,62.1,53.1,72,30.36,10,ENE,17.3,23,N/A,,Scattered Clouds,60,10/4/2016 14:54
136,10/4/2016 11:54,11:54 AM,62.1,52,70,30.37,10,NE,17.3,26.5,N/A,,Scattered Clouds,50,10/4/2016 15:54
137,10/4/2016 12:54,12:54 PM,61,51.1,70,30.37,10,ENE,15,-,N/A,,Scattered Clouds,70,10/4/2016 16:54
